,Date,Close
0,2021-07-08,83.2
1,2021-07-09,85.35
2,2021-07-12,84.35
3,2021-07-13,85.3
4,2021-07-14,84.6
5,2021-07-15,83.95
6,2021-07-16,88.3
7,2021-07-19,88.95
8,2021-07-20,85.2
9,2021-07-22,85.0
10,2021-07-23,82.45
11,2021-07-26,83.55
12,2021-07-27,87.15
13,2021-07-28,85.5
14,2021-07-29,92.95
15,2021-07-30,93.5
16,2021-08-02,95.0
17,2021-08-03,94.45
18,2021-08-04,93.35
19,2021-08-05,96.6
20,2021-08-06,94.2
21,2021-08-09,82.75
22,2021-08-10,78.3
23,2021-08-11,82.35
24,2021-08-12,84.55
25,2021-08-13,83.75
26,2021-08-16,83.2
27,2021-08-17,80.7
28,2021-08-18,78.65
29,2021-08-20,73.3
30,2021-08-23,74.75
31,2021-08-24,80.4
32,2021-08-25,81.2
33,2021-08-26,78.8
34,2021-08-27,85.0
35,2021-08-30,87.95
36,2021-08-31,90.75
37,2021-09-01,88.5
38,2021-09-02,89.55
39,2021-09-03,93.9
40,2021-09-06,99.2
41,2021-09-07,96.3
42,2021-09-08,96.4
43,2021-09-09,97.95
44,2021-09-13,100.75
45,2021-09-14,98.15
46,2021-09-15,96.0
47,2021-09-16,96.4
48,2021-09-17,94.15
49,2021-09-20,85.75
50,2021-09-21,88.6
51,2021-09-22,90.75
52,2021-09-23,91.05
53,2021-09-24,88.5
54,2021-09-27,90.05
55,2021-09-28,89.0
56,2021-09-29,94.4
57,2021-09-30,93.4
58,2021-10-01,95.5
59,2021-10-04,105.05
60,2021-10-05,102.4
61,2021-10-06,96.65
62,2021-10-07,96.55
